Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
292,5,"Kight, Frank",1905-09-19,170cm,68kg,3 (2-0-1),1,1927-1928,21y 237d,22y 222d
329,26,"Gray, Wally",1909-12-12,173cm,73kg,3 (3-0-0),,1931-1932,21y 197d,22y 168d
330,15,"Kolb, Charlie",1907-05-14,168cm,70kg,3 (2-0-1),1,1932,24y 359d,25y 7d
366,3,"Maple, Alan",1917-04-12,183cm,80kg,3 (2-1-0),3,1937,20y 19d,20y 117d
373,3,"Jenkins, Billy",1914-06-04,168cm,73kg,3 (2-0-1),,1938,23y 323d,23y 337d
388,21,"Cosgrove, Bill",1918-11-11,188cm,83kg,3 (1-0-2),,1940,21y 168d,21y 196d
412,8,"Searl, Sid",1917-01-10,178cm,64kg,3 (2-0-1),,1942,25y 154d,25y 175d
438,4,"Hughes, Frank",1921-02-09,180cm,70kg,3 (3-0-0),,1944,23y 129d,23y 143d
441,3,"Lewis, Allen",1916-11-27,178cm,89kg,3 (2-0-1),,1944,27y 231d,27y 245d
449,29,"Benson, Don",1920-04-09,170cm,73kg,3 (2-0-1),,1945,25y 68d,25y 82d
465,30,"Hill, Vic",1926-10-17,175cm,68kg,3 (1-0-2),1,1947,20y 184d,20y 205d
470,6,"James, Bert",1923-06-05,188cm,86kg,3 (3-0-0),,1947,23y 353d,24y 30d
494,23,"Clarke, Leo",1930-02-11,170cm,73kg,3 (2-0-1),,1949,19y 176d,19y 197d
502,20,"Atkinson, Jack",1928-06-23,187cm,79kg,3 (1-0-2),5,1950,22y 15d,22y 29d
521,10,"Currie, John",1931-06-13,191cm,89kg,3 (1-0-2),1,1952,21y 22d,21y 57d
534,6,"Vandersluys, Stan",1924-07-11,183cm,84kg,3 (1-0-2),,1953,28y 337d,28y 358d
536,21,"Brewer, Lloyd",1929-02-21,193cm,94kg,3 (1-1-1),1,1953,24y 133d,24y 154d
609,39,"Anderson, Bernie",1941-01-29,188cm,96kg,3 (0-1-2),2,1959-1960,18y 205d,19y 155d
611,9,"Gainger, Murray",1939-09-11,175cm,80kg,3 (0-1-2),,1960,20y 220d,20y 239d
617,17,"Dyer, Jack",1940-12-15,182cm,83kg,3 (0-0-3),,1960,19y 207d,19y 242d
618,48,"Murphy, Tony",1940-09-13,168cm,70kg,3 (0-0-3),1,1960,19y 300d,19y 314d
637,21,"Hillis, Wally",1938-03-02,185cm,81kg,3 (0-0-3),,1962,24y 50d,24y 64d
684,36,"Teague, Barry",1946-03-19,170cm,67kg,3 (1-0-2),1,1965-1967,19y 162d,21y 34d
724,31,"French, Lloyd",1947-12-22,185cm,83kg,3 (2-0-1),2,1970-1971,22y 229d,23y 151d
758,28,"Barrot, Wes",1953-10-08,179cm,78kg,3 (2-0-1),,1973-1974,19y 300d,20y 320d
823,26,"Baker, Ian",1955-08-04,185cm,86kg,3 (2-0-1),,1980,24y 301d,24y 357d
841,36,"Balme, Craig",1961-03-05,191cm,88kg,3 (0-0-3),,1983,22y 35d,22y 51d
899,37,"Bower, Darren",1968-01-20,182cm,72kg,3 (1-0-2),2,1987,19y 158d,19y 172d
919,39,"McLeod, Mark",1968-12-27,196cm,86kg,3 (1-0-2),,1989,20y 165d,20y 235d
958,43,"Slater, Adam",1973-10-29,200cm,101kg,3 (2-0-1),1,"1993, 1995",19y 150d,21y 308d
1030,17,"Hudson, Paul",1970-07-20,185cm,88kg,3 (0-0-3),1,2002,31y 281d,31y 344d
1071,18,"Kingsley, Kent",1978-09-26,193cm,95kg,3 (0-1-2),2,2007,28y 242d,28y 257d
1098,45,"Hicks, Robert",1991-10-09,176cm,67kg,3 (1-0-2),1,2010,18y 296d,18y 309d
1170,36,"Martyn, Will",2001-03-29,186cm,82kg,3 (0-1-2),,2021,20y 11d,20y 145d
1193,24,"Naismith, Sam",1992-07-16,206cm,108kg,3 (0-0-3),,2024,31y 237d,31y 294d
28,,"Barker, Syd",1887-11-26,183cm,95kg,2 (0-0-2),1,1908,20y 200d,20y 214d
30,,"Rankine, George",1884-11-04,,,2 (2-0-0),,1908,23y 243d,23y 250d
32,,"Larkin, Fred",1888-03-21,183cm,,2 (1-0-1),,1908,20y 133d,20y 140d
39,,"Bourke, Joe",1884-11-08,175cm,67kg,2 (2-0-0),1,1909,24y 181d,24y 223d
45,,"Sparks, Percy",1887-10-18,,,2 (0-0-2),,1909,21y 272d,21y 279d
48,,"Barton, Percy",1888-09-09,,,2 (1-0-1),,1909,20y 325d,20y 339d
49,,"Hill, Ern",1890-03-31,175cm,,2 (1-0-1),1,1909,19y 122d,19y 136d
51,,"McEwan, Tom",1885-12-14,179cm,,2 (0-0-2),,1909,23y 243d,23y 257d
60,,"Frauenfelder, Les",1888-02-26,180cm,,2 (1-0-1),2,1910,22y 63d,22y 77d
69,,"White, John",1887-06-09,173cm,70kg,2 (1-0-1),3,1910,22y 362d,23y 9d
79,,"Mahoney, Dave",1892-05-30,168cm,,2 (0-0-2),1,1911,18y 341d,19y 23d
83,,"Schade, Mick",1887-03-25,175cm,,2 (1-0-1),1,1911,24y 63d,24y 105d
94,20,"Allen, Bert",1887-05-07,,,2 (0-0-2),3,1912,25y 4d,25y 11d
99,,"Kenney, Vin",1892-06-30,178cm,,2 (0-0-2),,1912,19y 337d,19y 339d
104,25,"Rush, Leo",1890-07-10,177cm,,2 (0-0-2),2,1912,21y 355d,22y 24d
110,21,"Heath, Arthur",1890-02-07,180cm,73kg,2 (0-0-2),1,1913,23y 78d,23y 85d
122,12,"Lee, Les",1894-11-21,182cm,77kg,2 (1-0-1),,1913,18y 275d,18y 282d
129,26,"Thorpe, Bill",1894-01-07,180cm,74kg,2 (0-0-2),2,1914,20y 122d,20y 129d
135,27,"Driscoll, George",1893-12-19,184cm,,2 (2-0-0),,1914,20y 218d,20y 246d
138,6,"Maynard, Harry",1890-05-17,175cm,,2 (1-0-1),,1914,24y 97d,24y 104d
150,9,"Weeks, Horrie",1895-11-11,178cm,,2 (0-0-2),3,1915,19y 269d,19y 276d
159,24,"Kiernan, Basil",1897-05-16,174cm,,2 (1-0-1),,1916,19y 11d,19y 20d
180,31,"Rigaldi, Frank",1893-10-11,183cm,76kg,2 (0-0-2),1,1918,24y 226d,24y 247d
185,23,"Fewster, Artie",1894-10-18,,,2 (2-0-0),,1919,24y 197d,24y 204d
191,12,"Fehring, Arthur",1900-05-04,183cm,82kg,2 (0-0-2),,1919,19y 20d,19y 111d
203,24,"Ogilvie, George",1899-05-12,180cm,86kg,2 (1-0-1),,1920,21y 115d,21y 129d
206,16,"Whitehead, Reg",1899-04-25,185cm,78kg,2 (1-0-1),2,1921,22y 12d,22y 96d
219,30,"Brady, Rob",1901-05-17,177cm,,2 (2-0-0),,1922-1923,21y 45d,21y 353d
226,8,"Brunning, Herbie",1899-08-25,170cm,73kg,2 (2-0-0),,1923-1924,23y 253d,24y 315d
229,14,"Oakley, Loyal",1898-11-20,170cm,66kg,2 (1-0-1),,1923,24y 166d,24y 187d
232,24,"MacLeod, Cedric",1899-11-26,173cm,,2 (0-0-2),,1923,23y 190d,23y 195d
233,25,"Petzke, Gus",1896-08-23,193cm,96kg,2 (0-0-2),,1923,26y 285d,26y 290d
241,21,"Dobrigh, Leo",1898-12-06,177cm,74kg,2 (0-0-2),,1923,24y 269d,24y 276d
246,14,"Rowe, Joe",1901-05-26,177cm,,2 (0-0-2),1,1924,22y 343d,22y 357d
247,24,"Beare, Gerry",1905-07-03,177cm,73kg,2 (0-0-2),,1924,18y 319d,18y 326d
269,4,"Horne, Frank",1905-10-18,180cm,92kg,2 (1-0-1),,1925,19y 287d,19y 294d
270,30,"Baxter, Ray",1904-03-09,180cm,80kg,2 (1-0-1),3,1925,21y 173d,21y 180d
285,28,"Burke, Cyril",1905-10-14,180cm,,2 (1-0-1),2,1926,20y 255d,20y 332d
286,25,"Finlayson, Bill",1904-01-02,,,2 (0-0-2),,1926,22y 196d,22y 252d
296,27,"Stainsby, Les",1898-06-07,170cm,73kg,2 (2-0-0),2,1927,29y 11d,29y 25d
321,24,"Cusack, Ted",1910-05-14,177cm,73kg,2 (1-0-1),,1930,20y 3d,20y 10d
328,31,"Cunningham, Tom",1901-11-30,175cm,73kg,2 (2-0-0),2,1931,29y 209d,29y 216d
355,18,"Crapper, Fred",1909-03-04,185cm,89kg,2 (2-0-0),,1936,27y 73d,27y 80d
358,30,"Wisdom, Bill",1912-05-30,179cm,81kg,2 (2-0-0),,1936,24y 14d,24y 21d
418,5,"Hay, Bob",1920-04-09,185cm,81kg,2 (1-0-1),1,1942,22y 149d,22y 163d
445,34,"Potter, Ray",1925-06-04,193cm,83kg,2 (0-0-2),3,"1945, 1947",19y 321d,21y 340d
450,4,"Negri, Des",1923-11-15,178cm,76kg,2 (0-0-2),1,1945,21y 213d,21y 262d
457,30,"Rae, Keith",1917-07-30,180cm,70kg,2 (2-0-0),1,1946,28y 292d,28y 299d
462,3,"Nelson, George",1919-04-26,170cm,73kg,2 (2-0-0),,1946,27y 92d,27y 113d
466,12,"Pannam, Albert",1914-04-19,169cm,66kg,2 (1-0-1),6,1947,33y,33y 7d
468,28,"Sherman, Peter",1925-06-08,183cm,83kg,2 (0-0-2),,1947,21y 329d,21y 336d
501,34,"Drum, Frank",1931-01-03,191cm,89kg,2 (2-0-0),,1950,19y 158d,19y 165d
512,26,"Brown, Barrie",1931-06-25,180cm,83kg,2 (2-0-0),,1952,20y 299d,20y 306d
518,27,"Brennan, Jim",1927-06-16,178cm,80kg,2 (0-0-2),,1952,24y 336d,24y 350d
527,30,"Coppock, Kevin",1932-05-09,183cm,83kg,2 (1-0-1),,1953,20y 344d,21y 7d
550,10,"Davies, Neil",1931-12-09,185cm,84kg,2 (0-0-2),1,1955,23y 128d,23y 135d
559,27,"Bloodworth, Ray",1933-12-08,178cm,73kg,2 (1-0-1),,1955-1956,21y 241d,22y 163d
607,7,"Ryan, Johnny",1938-09-18,185cm,83kg,2 (0-0-2),,1959,20y 324d,20y 331d
610,6,"Edwards, Bill",1933-07-03,183cm,85kg,2 (0-0-2),1,1959,26y 50d,26y 57d
616,8,"Ricci, Renato",1940-02-01,173cm,64kg,2 (1-0-1),,1960,20y 110d,20y 117d
629,40,"Slockwitch, Ian",1941-10-06,168cm,65kg,2 (1-0-1),,1961,19y 240d,19y 249d
641,41,"Park, Len",1944-02-07,174cm,71kg,2 (0-0-2),,1962,18y 101d,18y 108d
645,50,"Dean, Ron",1943-09-29,178cm,76kg,2 (2-0-0),1,1962,18y 323d,18y 330d
651,39,"Lienert, Brian",1943-01-05,183cm,81kg,2 (0-0-2),,1963-1964,20y 126d,21y 174d
668,44,"Madigan, Norm",1944-12-12,169cm,67kg,2 (1-0-1),,1964,19y 212d,19y 219d
670,36,"Lienert, Ron",1945-12-10,178cm,71kg,2 (1-0-1),,1964,18y 235d,18y 242d
679,7,"Chivers, John",1944-11-06,177cm,76kg,2 (1-0-1),,1965,20y 197d,20y 211d
710,18,"Shinners, Brian",1949-08-06,183cm,83kg,2 (1-0-1),,1969,19y 277d,19y 326d
722,56,"Wilson, Trevor",1950-12-10,177cm,81kg,2 (0-0-2),2,1970,19y 192d,19y 262d
730,26,"Greenslade, Malcolm",1948-06-17,188cm,86kg,2 (2-0-0),7,1971,22y 304d,22y 311d
732,33,"Kelly, Frank",1950-08-07,179cm,76kg,2 (1-0-1),1,1971,20y 267d,20y 274d
779,6,"Lynch, Alan",1954-01-22,175cm,68kg,2 (2-0-0),1,1976,22y 156d,22y 163d
801,56,"Roach, Stephen",1958-06-20,183cm,89kg,2 (1-0-1),,1978,19y 334d,20y 74d
809,49,"Bain, Frank",1959-06-10,187cm,78kg,2 (1-0-1),,1979,19y 315d,19y 319d
814,51,"Trotter, Barrie",1960-02-16,183cm,83kg,2 (1-0-1),,1979,19y 134d,19y 141d
831,35,"Mugavin, Noel",1956-06-28,188cm,86kg,2 (2-0-0),3,1982,25y 265d,25y 272d
862,41,"Simpson, David",1963-03-31,178cm,69kg,2 (0-0-2),1,1984-1985,21y 133d,21y 364d
878,45,"MacIlwain, Geoff",1963-10-28,193cm,90kg,2 (0-0-2),,1986,22y 159d,22y 166d
887,18,"Sutcliffe, Scott",1963-02-10,185cm,79kg,2 (0-0-2),,1986,23y 131d,23y 138d
896,41,"Burke, Peter",1964-05-24,187cm,84kg,2 (0-0-2),,1987,22y 363d,23y 27d
897,42,"Buttifant, David",1964-03-03,183cm,85kg,2 (0-0-2),,1987,23y 80d,23y 88d
902,48,"Dintinosante, Renato",1963-05-24,180cm,75kg,2 (0-0-2),,1987,24y 90d,24y 96d
918,29,"Mahony, Brett",1970-04-04,173cm,73kg,2 (0-0-2),,1989,19y 60d,19y 137d
927,14,"Keighran, Darren",1969-11-30,188cm,83kg,2 (0-0-2),,1990,20y 135d,20y 142d
956,50,"Pitura, Mark",1974-06-26,192cm,86kg,2 (0-0-2),,1993,18y 275d,18y 308d
962,32,"Steele, Stuart",1972-03-28,185cm,80kg,2 (1-0-1),,1993,21y 55d,21y 62d
965,54,"Dennis, Simon",1973-02-21,190cm,86kg,2 (0-0-2),,1993,20y 167d,20y 175d
995,32,"Baldwin, Jason",1969-11-07,180cm,78kg,2 (2-0-0),,1997,27y 211d,27y 290d
1078,38,"Cartledge, Tristan",1985-06-11,199cm,93kg,2 (2-0-0),1,2008,23y 67d,23y 73d
1092,50,"Roberts, Relton",1986-03-01,176cm,78kg,2 (0-0-2),,2010,24y 24d,24y 40d
1114,39,"Derickx, Tom",1987-12-07,204cm,96kg,2 (1-0-1),,2012,24y 213d,24y 220d
1120,22,"Lonergan, Sam",1987-03-26,182cm,81kg,2 (1-0-1),,2013,26y 60d,26y 69d
1144,44,"Marcon, Adam",1992-07-28,180cm,80kg,2 (1-0-1),1,2016,24y 2d,24y 8d
1153,44,"Stengle, Tyson",1998-10-19,172cm,73kg,2 (1-0-1),2,2017,18y 255d,18y 262d
1160,16,"Weller, Maverick",1992-02-13,182cm,87kg,2 (1-0-1),1,2019,27y 36d,27y 43d
1190,36,"Trezise, James",2002-06-15,188cm,76kg,2 (0-0-2),,2023-2024,21y 73d,21y 283d
1196,48,"Green, Steely",2004-01-09,179cm,76kg,2 (0-0-2),,2024,20y 130d,20y 137d
19,,"Hannaford, Vin",1885-04-25,,,1 (0-0-1),,1908,23y 14d,23y 14d
20,,"Johnston, Alex",1881-12-07,169cm,,1 (0-0-1),,1908,26y 154d,26y 154d
29,,"Johnston, Walter",1884-01-17,,,1 (0-0-1),,1908,24y 148d,24y 148d
34,,"Sanguinetti, Frank",1886-05-05,,,1 (0-0-1),,1908,22y 102d,22y 102d
42,,"Ward, George",1889-07-04,171cm,76kg,1 (1-0-0),,1909,19y 336d,19y 336d
43,,"Duncan, Robert",1891-11-27,179cm,84kg,1 (0-0-1),,1909,17y 232d,17y 232d
52,,"Alder, Fred",1889-06-21,,,1 (0-0-1),1,1909,20y 61d,20y 61d
56,,"Kiker, Joe",1889-05-16,183cm,83kg,1 (0-0-1),1,1909,20y 111d,20y 111d
57,,"Carter, Ernest",1889-02-24,188cm,83kg,1 (0-0-1),,1910,21y 65d,21y 65d
70,,"Godfrey, Bruce",1885-03-27,177cm,,1 (0-0-1),1,1910,25y 76d,25y 76d
72,,"Ellin, Percy",1884-06-21,173cm,,1 (0-0-1),,1910,26y 11d,26y 11d
75,,"Scott, Bill",1886-11-03,182cm,85kg,1 (0-0-1),,1910,23y 297d,23y 297d
78,,"May, George",1891-09-07,180cm,85kg,1 (0-0-1),,1911,19y 234d,19y 234d
80,,"Robinson, Arch",1890-07-09,177cm,,1 (0-0-1),,1911,20y 301d,20y 301d
86,,"Incigneri, Matt",1891-02-01,183cm,73kg,1 (0-0-1),1,1911,20y 141d,20y 141d
87,,"Harrison, Artie",1893-02-08,173cm,70kg,1 (0-0-1),,1911,18y 171d,18y 171d
97,,"Sheppard, Ben",1890-06-23,174cm,,1 (0-0-1),1,1912,21y 337d,21y 337d
100,14,"Pattison, Andy",1885-11-02,183cm,86kg,1 (0-0-1),,1912,26y 219d,26y 219d
103,27,"Lynch, Bill",1892-02-15,173cm,67kg,1 (0-0-1),,1912,20y 135d,20y 135d
105,8,"Salvado, Alex",1890-10-19,178cm,80kg,1 (0-0-1),2,1912,21y 254d,21y 254d
130,30,"Gibb, Len",1888-10-08,178cm,71kg,1 (0-0-1),,1914,25y 220d,25y 220d
131,27,"Rogers, Wal",1889-05-10,178cm,81kg,1 (1-0-0),,1914,25y 29d,25y 29d
132,,"Smith, Dave",1884-09-14,183cm,82kg,1 (1-0-0),3,1914,29y 267d,29y 267d
149,,"Stokesbury, Hamilton",1896-03-30,167cm,,1 (0-0-1),,1915,19y 130d,19y 130d
162,17,"Collopy, Will",1897-04-21,175cm,64kg,1 (1-0-0),,1916,19y 64d,19y 64d
163,15,"Ericksen, Andy",1894-08-03,183cm,88kg,1 (0-0-1),,1917,22y 282d,22y 282d
174,,"Bowtell, Wally",1895-01-26,174cm,,1 (0-0-1),1,1917,22y 176d,22y 176d
181,7,"Mulcahy, Hugh",1894-06-19,,,1 (0-0-1),,1918,23y 361d,23y 361d
182,7,"Fell, Claude",1892-12-06,183cm,,1 (0-0-1),,1918,25y 198d,25y 198d
200,21,"Tuck, Charlie",1892-11-11,175cm,,1 (1-0-0),,1920,27y 221d,27y 221d
204,11,"James, Billy",1900-05-10,165cm,60kg,1 (1-0-0),1,1920,20y 145d,20y 145d
210,24,"Hanley, Eddie",1900-05-20,,,1 (0-0-1),,1921,21y 8d,21y 8d
211,27,"OHehir, George",1891-08-20,177cm,,1 (0-0-1),,1921,29y 337d,29y 337d
223,14,"Clark, George",1898-09-02,,,1 (0-0-1),,1922,24y 14d,24y 14d
224,22,"Ross, Ray",1903-04-20,173cm,71kg,1 (0-0-1),1,1922,19y 149d,19y 149d
225,29,"Stewart, Bob",1903-05-31,179cm,79kg,1 (0-0-1),,1922,19y 108d,19y 108d
230,24,"Ross, George",1901-05-02,170cm,86kg,1 (0-0-1),,1923,22y 17d,22y 17d
240,24,"McCormick, John",1899-11-24,185cm,83kg,1 (0-0-1),,1923,23y 253d,23y 253d
242,15,"Kight, Arthur",1901-10-13,173cm,67kg,1 (0-0-1),,1923,21y 337d,21y 337d
248,14,"Bannister, Horrie",1900-06-04,173cm,70kg,1 (0-0-1),,1924,23y 355d,23y 355d
262,24,"Bouch, Allan",1903-01-19,183cm,70kg,1 (1-0-0),,1925,22y 124d,22y 124d
265,28,"Whitely, Charlie",1904-01-12,173cm,68kg,1 (0-0-1),,1925,21y 152d,21y 152d
266,12,"Culhane, Jack",1900-02-28,174cm,,1 (0-0-1),,1925,25y 119d,25y 119d
273,26,"Plant, Joe",1907-10-12,183cm,83kg,1 (0-0-1),,1925,17y 335d,17y 335d
278,5,"Parkin, Roy",1904-07-18,179cm,,1 (1-0-0),,1926,21y 287d,21y 287d
293,6,"Ford, Bill",1906-07-18,191cm,80kg,1 (1-0-0),1,1927,20y 307d,20y 307d
313,11,"Wilson, Bob",1907-09-21,174cm,76kg,1 (0-0-1),,1929,21y 253d,21y 253d
315,19,"Collins, Hope",1904-08-20,183cm,76kg,1 (0-0-1),1,1930,25y 256d,25y 256d
317,23,"Griffith, Bill",1905-12-12,,,1 (0-0-1),,1930,24y 149d,24y 149d
322,,"Ogden, Stan",1910-11-01,185cm,76kg,1 (0-0-1),,1930,19y 197d,19y 197d
331,22,"Stanway, Horrie",1908-11-11,175cm,70kg,1 (1-0-0),,1932,23y 178d,23y 178d
339,5,"Gislingham, Bob",1908-04-13,178cm,77kg,1 (0-0-1),1,1933,25y 114d,25y 114d
367,29,"Uwins, Frank",1915-01-04,180cm,86kg,1 (1-0-0),1,1937,22y 117d,22y 117d
380,11,"Burgmann, Jack",1916-04-07,185cm,89kg,1 (0-0-1),,1938,22y 121d,22y 121d
381,35,"Cummings, Claude",1917-07-02,180cm,89kg,1 (1-0-0),,1938,21y 42d,21y 42d
396,35,"Hodges, Alby",1918-04-19,178cm,82kg,1 (0-0-1),,1940,22y 99d,22y 99d
403,28,"Tanner, Gerald",1921-08-24,175cm,73kg,1 (1-0-0),,1941,19y 350d,19y 350d
404,8,"Crohan, Kevin",1920-09-21,168cm,73kg,1 (1-0-0),,1942,21y 230d,21y 230d
405,30,"Dwan, Harry",1918-12-08,168cm,70kg,1 (1-0-0),,1942,23y 152d,23y 152d
407,1,"Walliker, Bob",1922-07-29,182cm,80kg,1 (1-0-0),,1942,19y 284d,19y 284d
423,15,"Stammers, Fred",1918-12-25,180cm,81kg,1 (1-0-0),,1943,24y 141d,24y 141d
427,26,"Nutter, Alan",1920-12-06,173cm,78kg,1 (1-0-0),,1943,22y 202d,22y 202d
429,34,"Giles, Jack",1921-06-17,179cm,85kg,1 (0-0-1),,1943,22y 44d,22y 44d
455,32,"Roach, Bill",1925-11-03,175cm,67kg,1 (0-0-1),,1946,20y 189d,20y 189d
488,35,"Seitz, Wally",1927-07-14,191cm,102kg,1 (1-0-0),,1949,21y 297d,21y 297d
492,11,"Hood, Max",1925-07-25,191cm,86kg,1 (0-0-1),,1949,23y 349d,23y 349d
511,10,"Gleeson, Bob",1931-07-17,177cm,75kg,1 (1-0-0),1,1951,20y 46d,20y 46d
530,28,"Walsh, Gerry",1932-05-04,173cm,70kg,1 (0-0-1),,1953,21y 12d,21y 12d
531,16,"Gleeson, Kevin",1930-09-18,183cm,83kg,1 (0-0-1),,1953,22y 254d,22y 254d
544,21,"Eade, Cliff",1933-05-24,179cm,90kg,1 (0-0-1),,1954,20y 349d,20y 349d
567,36,"Andrews, Gordon",1934-11-11,183cm,92kg,1 (0-0-1),,1956,21y 197d,21y 197d
576,19,"McCartney, Graeme",1933-05-08,173cm,70kg,1 (0-0-1),,1957,23y 354d,23y 354d
577,27,"Walker, Norman",1935-10-15,175cm,83kg,1 (0-0-1),,1957,21y 201d,21y 201d
619,20,"Blainey, Bruce",1939-04-12,179cm,79kg,1 (0-0-1),,1960,21y 116d,21y 116d
627,43,"Fitzgerald, Kevin",1943-02-19,175cm,67kg,1 (0-0-1),,1961,18y 83d,18y 83d
632,47,"OBrien, Ron",1942-12-06,173cm,67kg,1 (0-0-1),,1961,18y 221d,18y 221d
642,39,"Ellis, Graeme",1943-02-01,183cm,87kg,1 (0-0-1),,1962,19y 149d,19y 149d
664,18,"Bamford, Graham",1944-06-01,173cm,70kg,1 (1-0-0),1,1964,19y 343d,19y 343d
666,48,"Richardson, Rodger",1943-06-12,188cm,86kg,1 (0-0-1),,1964,20y 360d,20y 360d
671,51,"Crowe, Vin",1946-01-13,182cm,80kg,1 (0-0-1),1,1964,18y 215d,18y 215d
673,46,"Dobson, Colin",1945-03-24,193cm,83kg,1 (0-0-1),,1964,19y 151d,19y 151d
696,34,"Jacks, David",1948-05-24,185cm,83kg,1 (1-0-0),,1967,19y 38d,19y 38d
699,6,"Curran, Pat",1946-03-11,182cm,80kg,1 (0-0-1),,1968,22y 54d,22y 54d
705,51,"Tully, Russell",1949-09-30,192cm,86kg,1 (0-0-1),,1968,18y 287d,18y 287d
720,14,"Oppy, Grant",1950-12-04,178cm,81kg,1 (0-0-1),,1970,19y 177d,19y 177d
731,23,"Nunan, Michael",1949-04-12,165cm,64kg,1 (1-0-0),3,1971,22y 12d,22y 12d
740,55,"Gehling, Bill",1951-04-12,173cm,76kg,1 (1-0-0),,1971,20y 138d,20y 138d
747,23,"Hunt, Tony",1952-05-10,183cm,81kg,1 (0-0-1),,1972,20y 38d,20y 38d
784,42,"Henry, David",1956-02-03,191cm,86kg,1 (1-0-0),,1976,20y 207d,20y 207d
851,56,"Ross, Bradley",1963-05-02,178cm,76kg,1 (0-0-1),,1983,20y 103d,20y 103d
856,27,"Dunne, Jeff",1956-05-14,176cm,76kg,1 (1-0-0),,1984,27y 336d,27y 336d
886,55,"Cross, Andrew",1961-04-13,178cm,80kg,1 (1-0-0),,1986,25y 62d,25y 62d
895,25,"Pastore, Anthony",1966-04-16,184cm,90kg,1 (0-0-1),,1987,21y 16d,21y 16d
934,50,"Smith, Jason",1972-08-13,185cm,80kg,1 (0-0-1),,1991,18y 222d,18y 222d
996,42,"Donati, Daniel",1977-09-29,187cm,83kg,1 (0-0-1),,1997,19y 280d,19y 280d
998,39,"Jewell, Nick",1977-08-27,194cm,93kg,1 (0-0-1),,1997,19y 347d,19y 347d
1061,42,"Humm, Jeremy",1983-01-05,182cm,81kg,1 (0-0-1),,2006,23y 100d,23y 100d
1179,47,"Nyuon, Bigoa",2001-05-18,197cm,93kg,1 (1-0-0),,2022,20y 361d,20y 361d
1197,49,"Smith, Kaleb",2004-11-20,181cm,77kg,1 (0-0-1),,2024,19y 194d,19y 194d
1198,51,"Blight, Jacob",2001-12-14,196cm,102kg,1 (0-0-1),,2024,22y 199d,22y 199d
